"DECL","PERIOD","PRCCODE","PRCCODE_LABEL","INDICATORS","Value","Flag and Footnotes"
"Spain","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL","7,568,172",""
"Belgium","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL",":",""
"Luxemburg","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL","0",""
"Iceland","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL","0",""
"Norway","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL",":",""
"Sweden","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL","0",""
"Finland","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL","476,814",""
"Austria","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL",":",""
"Malta","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL","0",""
"Estonia","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL","0",""
"Latvia","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL","0",""
"Lithuania","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL","0",""
"Poland","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL","463,085",""
"Czech Republic","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL",":",""
"Slovakia","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL","0",""
"Hungary","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL",":",""
"Romania","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL","0",""
"Bulgaria","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL",":",""
"Slovenia","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL","0",""
"Croatia","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL","0",""
"EU25TOTALS","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL","188,000,000",""
"EU27TOTALS","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL","188,000,000",""
"Cyprus","Jan.-Dec. 2008","31001159","Non-upholstered swivel seats with variable height adjustment (excluding seats with castors or glides, medical, surgical, dental or veterinary seats, barbers' or similar chairs)","PRODVAL","0",""
"France","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","71,349,859",""
"Netherlands","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","71,927,000",""
"Germany","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","175,347,918",""
"Italy","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","580,689,000",""
"United Kingdom","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","157,850,254",""
"Ireland","Jan.-Dec. 2008","31001170","Upholstered seats with metal frames (excluding swivel seats, medical, surgical, dental or veterinary seats, barbers¿ or similar chairs, for motor vehicles, for aircraft)","PRODVAL","8,674,000",""
